,Trafo_id,Date_Time,Active_Energy
1571,121970,2019-11-06 02:00:00,716.0
2057,121990,2019-11-06 03:00:00,189.5
2058,121990,2019-11-06 04:00:00,189.0
607,100528,2019-11-06 05:00:00,385.2
608,100528,2019-11-06 06:00:00,459.0
1576,121970,2019-11-06 07:00:00,1368.0
2062,121990,2019-11-06 08:00:00,1018.5
1578,121970,2019-11-06 09:00:00,1498.4
128,100469,2019-11-06 10:00:00,1686.6
129,100469,2019-11-06 11:00:00,1618.8
1581,121970,2019-11-06 12:00:00,1336.8
615,100528,2019-11-06 13:00:00,924.0
616,100528,2019-11-06 14:00:00,941.4
617,100528,2019-11-06 15:00:00,889.2
618,100528,2019-11-06 16:00:00,973.2
1103,121695,2019-11-06 17:00:00,862.0
2072,121990,2019-11-06 18:00:00,580.0
621,100528,2019-11-06 19:00:00,849.6
622,100528,2019-11-06 20:00:00,811.2
2075,121990,2019-11-06 21:00:00,355.0
140,100469,2019-11-06 22:00:00,564.0
2077,121990,2019-11-06 23:00:00,260.5
1593,121970,2019-11-07 00:00:00,734.4
1111,121695,2019-11-07 01:00:00,689.6
2080,121990,2019-11-07 02:00:00,191.0
2081,121990,2019-11-07 03:00:00,187.0
2082,121990,2019-11-07 04:00:00,189.5
2083,121990,2019-11-07 05:00:00,204.0
148,100469,2019-11-07 06:00:00,705.0
1117,121695,2019-11-07 07:00:00,818.0
1601,121970,2019-11-07 08:00:00,1392.0
1602,121970,2019-11-07 09:00:00,1391.2
636,100528,2019-11-07 10:00:00,964.2
1604,121970,2019-11-07 11:00:00,1258.4
1122,121695,2019-11-07 12:00:00,907.2
1606,121970,2019-11-07 13:00:00,1469.6
640,100528,2019-11-07 14:00:00,934.8
1608,121970,2019-11-07 15:00:00,1386.4
642,100528,2019-11-07 16:00:00,945.0
1127,121695,2019-11-07 17:00:00,868.4
1128,121695,2019-11-07 18:00:00,736.0
161,100469,2019-11-07 19:00:00,821.4
1613,121970,2019-11-07 20:00:00,831.2
1614,121970,2019-11-07 21:00:00,879.2
2100,121990,2019-11-07 22:00:00,399.0
1616,121970,2019-11-07 23:00:00,815.2
1617,121970,2019-11-08 00:00:00,711.2
651,100528,2019-11-08 01:00:00,405.6
652,100528,2019-11-08 02:00:00,361.8
2105,121990,2019-11-08 03:00:00,263.0
654,100528,2019-11-08 04:00:00,356.4
1622,121970,2019-11-08 05:00:00,775.2
656,100528,2019-11-08 06:00:00,459.0
657,100528,2019-11-08 07:00:00,613.8
2110,121990,2019-11-08 08:00:00,1006.5
659,100528,2019-11-08 09:00:00,850.8
660,100528,2019-11-08 10:00:00,978.0
661,100528,2019-11-08 11:00:00,959.4
1629,121970,2019-11-08 12:00:00,456.0
1630,121970,2019-11-08 13:00:00,1402.4
1631,121970,2019-11-08 14:00:00,1377.6
2117,121990,2019-11-08 15:00:00,880.5
1150,121695,2019-11-08 16:00:00,835.6
183,100469,2019-11-08 17:00:00,1187.4
184,100469,2019-11-08 18:00:00,690.0
1636,121970,2019-11-08 19:00:00,694.4
670,100528,2019-11-08 20:00:00,808.8
1155,121695,2019-11-08 21:00:00,661.2
1639,121970,2019-11-08 22:00:00,798.4
1640,121970,2019-11-08 23:00:00,784.0
1641,121970,2019-11-09 00:00:00,660.0
675,100528,2019-11-09 01:00:00,420.0
676,100528,2019-11-09 02:00:00,375.0
1644,121970,2019-11-09 03:00:00,718.4
678,100528,2019-11-09 04:00:00,355.2
2131,121990,2019-11-09 05:00:00,229.5
680,100528,2019-11-09 06:00:00,407.4
681,100528,2019-11-09 07:00:00,543.6
198,100469,2019-11-09 08:00:00,1158.0
1650,121970,2019-11-09 09:00:00,1065.6
1651,121970,2019-11-09 10:00:00,1141.6
1652,121970,2019-11-09 11:00:00,976.0
1653,121970,2019-11-09 12:00:00,943.2
1171,121695,2019-11-09 13:00:00,753.2
2140,121990,2019-11-09 14:00:00,540.5
1656,121970,2019-11-09 15:00:00,775.2
2142,121990,2019-11-09 16:00:00,443.5
1658,121970,2019-11-09 17:00:00,595.2
2144,121990,2019-11-09 18:00:00,347.0
1660,121970,2019-11-09 19:00:00,602.4
694,100528,2019-11-09 20:00:00,795.6
1662,121970,2019-11-09 21:00:00,605.6
1663,121970,2019-11-09 22:00:00,616.0
1181,121695,2019-11-09 23:00:00,516.8
698,100528,2019-11-10 00:00:00,547.2
215,100469,2019-11-10 01:00:00,415.2
1667,121970,2019-11-10 02:00:00,580.8
1668,121970,2019-11-10 03:00:00,586.4
2154,121990,2019-11-10 04:00:00,179.5
703,100528,2019-11-10 05:00:00,358.2
1188,121695,2019-11-10 06:00:00,388.4
1189,121695,2019-11-10 07:00:00,363.6
2158,121990,2019-11-10 08:00:00,294.0
1674,121970,2019-11-10 09:00:00,332.8
708,100528,2019-11-10 10:00:00,733.8
2161,121990,2019-11-10 11:00:00,351.0
2162,121990,2019-11-10 12:00:00,302.0
227,100469,2019-11-10 13:00:00,211.2
1196,121695,2019-11-10 14:00:00,475.6
229,100469,2019-11-10 15:00:00,190.8
714,100528,2019-11-10 16:00:00,720.0
1682,121970,2019-11-10 17:00:00,265.6
1200,121695,2019-11-10 18:00:00,376.0
717,100528,2019-11-10 19:00:00,801.6
1202,121695,2019-11-10 20:00:00,422.8
1686,121970,2019-11-10 21:00:00,262.4
1687,121970,2019-11-10 22:00:00,265.6
1688,121970,2019-11-10 23:00:00,266.4
2174,121990,2019-11-11 00:00:00,223.5
1207,121695,2019-11-11 01:00:00,470.8
1691,121970,2019-11-11 02:00:00,266.4
1692,121970,2019-11-11 03:00:00,268.0
1210,121695,2019-11-11 04:00:00,399.2
1694,121970,2019-11-11 05:00:00,366.4
2180,121990,2019-11-11 06:00:00,238.0
2181,121990,2019-11-11 07:00:00,677.5
246,100469,2019-11-11 08:00:00,1606.8
2183,121990,2019-11-11 09:00:00,916.5
248,100469,2019-11-11 10:00:00,1653.6
1217,121695,2019-11-11 11:00:00,851.6
1218,121695,2019-11-11 12:00:00,840.4
2187,121990,2019-11-11 13:00:00,1036.0
1220,121695,2019-11-11 14:00:00,930.0
1221,121695,2019-11-11 15:00:00,894.8
2190,121990,2019-11-11 16:00:00,999.5
2191,121990,2019-11-11 17:00:00,834.0
740,100528,2019-11-11 18:00:00,909.6
1708,121970,2019-11-11 19:00:00,864.8
2194,121990,2019-11-11 20:00:00,523.5
1227,121695,2019-11-11 21:00:00,627.6
744,100528,2019-11-11 22:00:00,648.6
1712,121970,2019-11-11 23:00:00,770.4
2198,121990,2019-11-12 00:00:00,291.5
1231,121695,2019-11-12 01:00:00,680.4
748,100528,2019-11-12 02:00:00,361.2
1233,121695,2019-11-12 03:00:00,652.4
1234,121695,2019-11-12 04:00:00,620.0
1235,121695,2019-11-12 05:00:00,665.6
1236,121695,2019-11-12 06:00:00,643.2
1237,121695,2019-11-12 07:00:00,774.4
1238,121695,2019-11-12 08:00:00,913.6
271,100469,2019-11-12 09:00:00,1660.2
272,100469,2019-11-12 10:00:00,1746.0
1241,121695,2019-11-12 11:00:00,924.4
2210,121990,2019-11-12 12:00:00,686.5
1243,121695,2019-11-12 13:00:00,961.2
276,100469,2019-11-12 14:00:00,1725.0
2213,121990,2019-11-12 15:00:00,945.5
278,100469,2019-11-12 16:00:00,1662.0
1247,121695,2019-11-12 17:00:00,802.4
280,100469,2019-11-12 18:00:00,831.0
281,100469,2019-11-12 19:00:00,691.8
766,100528,2019-11-12 20:00:00,844.8
2219,121990,2019-11-12 21:00:00,437.0
1252,121695,2019-11-12 22:00:00,741.2
1253,121695,2019-11-12 23:00:00,733.2
1737,121970,2019-11-13 00:00:00,719.2
287,100469,2019-11-13 01:00:00,532.2
1739,121970,2019-11-13 02:00:00,799.2
289,100469,2019-11-13 03:00:00,533.4
2226,121990,2019-11-13 04:00:00,223.5
1259,121695,2019-11-13 05:00:00,741.2
292,100469,2019-11-13 06:00:00,716.4
1261,121695,2019-11-13 07:00:00,784.4
2230,121990,2019-11-13 08:00:00,967.5
1746,121970,2019-11-13 09:00:00,1483.2
2232,121990,2019-11-13 10:00:00,1034.0
1748,121970,2019-11-13 11:00:00,1376.8
298,100469,2019-11-13 12:00:00,1438.8
2235,121990,2019-11-13 13:00:00,1000.0
784,100528,2019-11-13 14:00:00,952.2
2237,121990,2019-11-13 15:00:00,917.5
786,100528,2019-11-13 16:00:00,957.6
